Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Quarter CPS  Latest quarter Cash Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Previous EPS  Previous earnings per share,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM CPS  Trailing Twelve 12 month CPS,Month CPS  Month Cash Per Share,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Advances  Latest Advances for Banks,Net profit asset  Latest Assets,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
"Castings, Forgings & Fastners",0,23.82,1,11.91,0,92.13,3.43,0.3,0.1,0.2,1-Mar-21,28.91,0,1.5,0,5.333333,0,0,4.26,6.4,10,2,8,8,188.18,1.28,0,1-Mar-21,92.13,9.21,10,8.07,8.8,3.43,0,0.1,0,0,0,4.64,23.82,8,38.4,2.92,0,0,10,8.8,9.4,LGBFORGE
Textiles,999,14.7,10,15.45,1,35,2.69,2.8,1.8,1.4,1-Jun-21,5.42,0,20.5,0.62,3.02439,34.4,22.3,0,158.22,76,23,62,0,91.14,0.63,0,1-Jun-21,39.28,7.59,19.32,5.69,14.49,4.15,0,2.82,21.96,0,0,1.39,14.7,62,3.34,0,0,0,16.8,11.6,29.2,LIBAS
Leather,-96,17.04,10,169.34,0,458.06,0.31,20.4,0.2,0,1-Jun-21,97.64,0,109.4,4.3,1.636197,0,8.8,41.87,334.07,190,117,178,179,304.25,-3.07,72,1-Jun-21,504.42,58.37,11.57,44.19,8.76,8.11,0,4.76,37.61,0,0,33.49,17.04,179,357.9,0,0,0,11.2,8.1,7.9,LIBERTSHOE
Finance,14,100.93,2,20500.44,425,19881.7,2740.72,55.3,54.3,0,1-Jun-21,4864.57,0,408.2,13.9,0.99951,7.5,7.4,3283.54,14487.37,542,260,407,408,20575.11,150.99,-82,1-Jun-21,19929.29,18658.6,93.62,2589.52,13.12,2639.9,-21.03,40.97,9.95,0,0,54.35,100.93,408,363.38,21829.1,0,0,89.9,17.2,77.2,LICHSGFIN
Pharmaceuticals,21,20,10,355.29,15,424.19,62.22,34.9,31.1,0,1-Jun-21,122.19,0,187.6,17.67,1.748401,10.5,9.4,24.49,192.84,385,191,330,328,655.3,17.7,16,1-Jun-21,406.85,73.74,18.12,94.94,21.45,56.02,19.69,32.33,10.13,0,0,7.48,20,328,146.7,0,0,0,20.6,21.5,20.7,LINCOLN
Printing & Stationery,-100,14.87,10,119.83,0,258.65,0.07,8.6,0,0,1-Jun-21,55.13,0,90.6,0.03,2.240618,0,23.6,1.12,17.7,240,137,203,203,301.68,-1.22,69,1-Jun-21,286.37,12.94,4.52,12.6,4.4,2.84,-74,1.91,106.29,0,0,12.62,14.87,203,119.61,1.1,0,0,3.9,3.4,2.5,LINCPEN
Chemicals,23,85.28,10,2500.52,30,1471.12,149.96,38.2,17.6,0,1-Jun-21,519.17,0,303.2,6.86,8.281662,142.8,65.7,814.2,18879.78,2749,678,2500,2511,21409.97,72.5,266,1-Jun-21,1408.51,344.81,24.48,818.15,45.29,119.59,94.33,27.59,90.99,0,0,177.98,85.28,2511,2845.64,6.9,0,0,25.5,27.5,26.2,LINDEINDIA
Capital Goods-Non Electrical Equipment,0,17.9,10,125.24,0,150.21,3.96,6.9,2.2,4.7,1-Jun-21,32.71,0,80,-3.31,0.5875,21.3,6.8,1.99,21.54,56,19,47,47,84.03,0.15,0,1-Jun-21,166.4,27.35,16.44,15.98,9.6,6.04,0,3.37,13.93,0,0,8.43,17.9,47,214.35,3.74,0,0,16.6,9.2,16.1,LOKESHMACH
Healthcare,3,20.8,10,31.9,5,32.37,1.51,1.9,0.7,1,1-Jun-21,5.92,0,25.3,3.02,1.73913,0,23.9,0.03,2.78,58,28,44,44,91.94,-0.2,70,1-Jun-21,33.54,4.04,12.05,4.67,13.92,1.98,0,0.95,0,0,0,2.29,20.8,44,81.63,0.26,0,0,11.2,13.1,2.9,LOTUSEYE
Textiles,-83,14.8,10,152.99,0,80.62,0.67,1.6,0.5,0.5,1-Jun-21,12.18,0,113.4,2.39,0.987654,0,70.6,12.75,49.68,146,50,112,112,165.32,-1,76,1-Jun-21,86.11,1.58,1.83,7.14,8.29,3.89,0,2.63,42.61,0,0,1.67,14.8,112,39.75,0,0,0,-2.4,3.2,-12.1,LOVABLE
Realty,6,13.41,1,48.62,0,1.01,0.4,0,0,0,1-Jun-21,0,0,4.6,0.61,0.869565,0,0,0.38,2.48,9,1,4,4,59.56,0.09,-25,1-Jun-21,1.01,-0.36,-35.64,0.51,50.5,0.38,-16,0.03,0,0,0,0,13.41,4,0.03,0,0,0,-32.7,53.5,0,LPDC
Steel,-80,89.87,1,23.58,0,70.05,0.5,0,0,0,1-Jun-21,5.2,0,1.3,0.45,2.307692,0,0,12.08,24.42,4,1,3,3,273.2,-1.01,0,1-Jun-21,65.26,-11.96,-18.33,0.88,1.35,-0.79,0,0,0,0,0,1.48,89.87,3,56.8,0,0,0,-14.3,3.3,-56.5,LSIL
Infrastructure Developers & Operators,49,280.93,2,75587.62,1800,135979.03,14248.13,122.1,101.4,0,1-Jun-21,29334.73,0,540.1,21.84,3.123496,16.6,13.8,4785.19,39397.31,1718,843,1692,1687,236902.26,1174.44,402,1-Jun-21,132782.67,18490.31,13.93,21288.61,14.78,14175.84,84.42,109.11,15.46,0,0,2756.52,280.93,1687,56527.39,46853.92,0,0,14.6,14.6,16.1,LT
IT - Software,27,17.52,1,7285.9,4000,12369.8,1936.1,129.5,110.5,0,1-Jun-21,3462.5,0,416.9,30.51,13.08947,49.4,42.1,1248.03,22995.19,5498,2310,5461,5457,95584.48,496.3,19,1-Jun-21,11770.6,2383.2,20.25,3035.3,23.56,1676.2,27.53,115.07,47.42,0,0,313.6,17.52,5457,3283.6,798.3,0,0,22,23.6,18.7,LTI
IT - Software,-21,21.04,2,3452.1,1100,5449.7,646.74,82.2,61.5,0,1-Jun-21,1518.4,0,330.2,21.36,13.143549,70.6,52.8,3291.66,88404.05,4436,1465,4339,4340,45650.76,216.2,84,1-Jun-21,5478,993.3,18.13,1257.8,22.17,691.6,4.15,72.48,59.88,0,0,197.6,21.04,4340,1966.7,0,0,0,18.5,20.5,20.9,LTTS
Auto Ancillaries,-77,9.35,10,451.09,70,1425.98,16.78,86.9,17.9,0,1-Jun-21,314,0,492.4,4,2.999594,82.3,17,5.04,52.32,1820,1190,1479,1477,1381.37,-9.9,69,1-Jun-21,1245.88,71.62,5.75,144.38,8.69,10.88,67.9,42.62,34.66,0,0,62.79,9.35,1477,900.87,127.91,0,0,7,6.8,1.8,LUMAXIND
Auto Ancillaries,-21,13.63,2,517.09,150,1107.93,46,11.8,6.7,0,1-Jun-21,260.48,0,77.9,10.47,1.835687,21.2,12.2,13.71,92.42,181,88,142,143,971.93,3.41,128,1-Jun-21,914.49,55.57,6.08,133.64,10.3,20.72,123.71,9.29,15.35,0,0,32.95,13.63,143,624.69,0,0,0,8.8,9.5,6.1,LUMAXTECH
Pharmaceuticals,350,90.8,2,13712.35,325,15162.96,1177.08,45.5,25.9,0,1-Jun-21,4237.39,0,304,9.32,3.1875,37.4,21.3,214.77,4811.63,1268,856,969,969,44015.07,542.46,407,1-Jun-21,14757.51,1734.99,11.76,3035.45,19.34,-671.29,410.3,36.39,26.64,0,0,894.86,90.8,969,14726.75,4540.06,0,0,16.9,16.9,22.8,LUPIN
Textiles,120,6.01,2,999.3,0,1942.89,271.39,96.2,90.2,0,1-Jun-21,416.66,0,334.3,27.01,12.165719,45.1,42.3,34.4,2522.31,4500,1251,4071,4067,12229.4,64.17,72,1-Jun-21,1214.12,216.72,17.85,393.07,20.37,145.91,82.67,93.85,43.33,0,0,13.94,6.01,4067,181.03,17.91,0,0,19.6,19.6,21,LUXIND
Pharmaceuticals,62,28.69,10,-54.49,0,86.25,-10.45,-0.7,-3.6,0,1-Jun-21,49.44,0,-9,0,-8.222222,-20.3,-100,9.44,39.45,103,16,74,74,211.01,19.55,519,1-Jun-21,68.6,-26.52,-38.65,19.68,16.68,-30.48,149.04,4.94,14.89,0,0,8.2,28.69,74,202.5,9.75,0,0,21.5,-6.7,60.5,LYKALABS
"Diamond, Gems and Jewellery",-19,29.48,10,70.24,0,8.41,-26,-8.7,-8.8,0,1-Jun-21,2.17,0,33.8,11.11,0.147929,-0.6,-0.6,0.89,2.29,7,2,5,5,14.65,-0.04,100,1-Jun-21,10.93,-48.53,-444.14,-10.07,-97.96,-41.25,65.67,0,0,0,0,0.36,29.48,5,7.01,18.36,0,0,-305,-304,1.4,LYPSAGEMS
Automobile,828,621.6,5,41026.77,175,74277.78,2229.79,45.1,17.9,0,1-Jun-21,19171.91,0,335,4.73,2.238806,41.8,16.6,1318.55,31954.31,952,566,750,750,93245.66,445.92,423,1-Jun-21,85090.23,8484.06,9.97,5800.08,7.12,-734.82,620.19,24.43,30.7,0,0,4832.51,621.6,750,42657.87,43022.59,0,0,13.2,8.8,4.9,M&M
Finance,-38,247.11,2,15529.97,40,12381.94,669.82,6.6,5.4,0,1-Jun-21,2549.51,0,127.7,4.88,1.292091,30.4,24.9,751.71,10460.79,224,113,165,165,20417.13,-1573.72,-768,1-Jun-21,12238.83,7232.93,59.1,-1565.6,-13.56,1293.5,-202.38,0,0,0,0,139.68,247.11,165,967.34,19511.8,0,0,51.2,8.8,-38.9,M&MFIN
Finance,-38,247.11,2,15529.97,40,12381.94,669.82,6.6,5.4,0,1-Jun-21,2549.51,0,127.7,4.88,1.292091,30.4,24.9,751.71,10460.79,224,113,165,165,20417.13,-1573.72,-768,1-Jun-21,12238.83,7232.93,59.1,-1565.6,-13.56,1293.5,-202.38,0,0,0,0,139.68,247.11,165,967.34,19511.8,0,0,51.2,8.8,-38.9,M&MFIN
Non Ferrous Metals,94,13.52,10,50.54,10,408.36,14.8,13.3,10.9,6.2,1-Jun-21,120.7,0,47.4,25.91,3.016878,13.1,10.7,4.46,42.98,230,30,142,143,193.08,5.2,223,1-Jun-21,479.13,29.06,6.07,27.93,5.83,18.39,165,13.6,10.51,0,0,3.33,13.52,143,47.88,16.59,0,0,6,5.7,6.2,MAANALU
Engineering,155,10,10,62.46,0,112.76,6.03,8.6,6,4,1-Jun-21,34.47,0,72.5,3.51,2.565517,31,21.6,0,39.16,226,56,186,0,186.23,1.37,198,1-Jun-21,140.48,12.6,8.97,12.93,9.2,6.94,193,6.94,26.8,0,0,2.6,10,186,41.81,0,0,0,8.1,8.3,10.2,MACPOWER
Miscellaneous,-54,8.95,10,122.48,5,62.02,0.92,6.2,1,0,1-Jun-21,15.7,0,146.8,1.54,0.395095,56.5,9.4,0.53,3.81,76,23,58,58,51.87,-0.24,-131,1-Jun-21,58.2,3.92,6.74,5.1,7.65,2.38,-105.35,0,0,0,0,4.86,8.95,58,104.7,0,0,0,4.3,8.9,6.7,MADHAV
Construction,-113,7.38,1,-1891.78,0,909.16,-233.39,-14.2,-31.6,0,1-Jun-21,140.49,0,-255.4,0,-0.019577,-0.2,-0.4,0.29,0.93,8,2,5,5,36.01,-34.81,25,1-Jun-21,762.66,-990.49,-129.87,-142.9,-14.91,-23.46,-639.45,0,0,0,0,1.39,7.38,5,5386.81,85.69,0,0,-4,-16.2,-10.2,MADHUCON
Fertilizers,0,161.1,10,-857.39,0,1532.04,2.87,2.1,0.2,0,1-Jun-21,494.85,0,-43.2,0,-0.694444,0,14.3,19.69,107.21,36,15,30,30,486.52,24.85,0,1-Jun-21,1813.73,183.06,10.09,94.03,5.18,61.78,0,3.83,7.82,0,0,32.25,161.1,30,289.88,1211.48,0,0,8.1,2.2,10.5,MADRASFERT
Sugar,-61,14.09,10,543.55,40,951.94,27.37,33,19.4,10.8,1-Jun-21,252.51,0,395.8,4.95,0.707428,14.4,8.5,6.49,47.62,386,94,283,280,394.5,-3.95,0,1-Jun-21,1012.11,108.22,10.69,55.85,5.52,23.21,-64,16.47,17,0,0,19.53,14.09,280,780.8,200,0,0,12.1,6.5,4.1,MAGADSUGAR
Paper,0,37.6,10,-94.33,0,176.6,1.34,4.8,0.4,4.3,1-Jun-21,49.88,0,-15.1,0,-0.529801,0,1.6,0.08,1.79,12,4,8,8,29.7,-0.71,90,1-Jun-21,224.12,19.31,8.62,23.41,10.45,7.74,0,2.06,3.89,0,0,16.81,37.6,8,446.09,11.35,0,0,7.2,9.6,6.7,MAGNUM
Banks,45,6730.5,10,5022.67,0,11868.63,571.02,1.1,0.8,0,1-Jun-21,3103.69,0,17.5,4.08,1.028571,21.2,16,156.16,812.41,32,11,18,18,12182.2,213.79,103,1-Jun-21,11586.73,5544.43,47.85,1591.02,13.18,432.42,63.98,1.01,17.92,0,0,0,6730.5,18,3232.58,173989.3,102405.17,0,42.8,6.4,47.3,MAHABANK
Finance,149,14.15,10,134.77,0,3.07,32.49,23,23,0,1-Jun-21,0.38,0,105.2,10.79,0.988593,4.5,4.5,0.06,3.45,126,48,101,104,146.52,0.55,-49,1-Jun-21,3.52,-18.74,-532.76,31.87,1036.52,11.91,214.75,22.6,4.58,0,0,0.03,14.15,104,10.02,5.93,0,0,-2.7,1049.3,-75.5,MAHAPEXLTD
Steel,-65,14.77,10,96.68,0,250.91,0.84,4.3,0.6,0,1-Jun-21,91.18,0,75.5,2.49,1.284768,170,22.4,14.65,136.33,131,71,98,97,143.86,0.47,117,1-Jun-21,261.36,10.66,4.08,10.85,3.45,-3.29,1012.16,2.64,36.89,0,0,5.82,14.77,97,88.38,5.93,0,0,5,2.8,4,MAHASTEEL
Logistics,-37,29.6,10,109.17,5,670.44,9.28,7.5,3.1,6.4,1-Jun-21,244.99,0,46.9,11.94,2.28145,34.5,14.3,0,31.52,142,73,107,0,316.1,6.1,0,1-Jun-21,818.26,53.2,6.5,36.15,4.42,18.72,199,6.32,16.92,0,0,12.48,29.6,107,157.12,29.63,0,0,6.4,3.8,6.1,MAHESHWARI
Chemicals,4,8.12,10,18.81,2,86.49,3.11,4,3.8,0,,0,1.3,33.2,12.21,2.289157,20.1,19.2,0,6.85,95,70,76,0,61.93,1.05,-40,1-Mar-21,86.49,2.12,2.4,4.52,5.2,3.11,4,3.8,20.1,0,0,0.12,8.12,76,2.33,9.73,0,0,2.4,5.2,0,MAHICKRA
"Castings, Forgings & Fastners",-73,379.05,10,4650.59,0,6050.1,96.31,10.6,2.5,0,1-Jun-21,2042.48,0,132.7,2.23,1.70309,88.9,21.3,107.12,386.55,281,116,226,226,8560.87,136.2,206,1-Jun-21,5815.41,441.12,7.59,978.07,12.41,2.69,64112.48,8.41,26.85,0,0,297.03,379.05,226,9352.4,1079.6,0,0,8.3,8.3,12.7,MAHINDCIE
Construction,-15,51.39,10,1579.71,0,166.25,-71.76,-12.6,-14,0,1-Jun-21,148.21,0,317.4,-4.29,2.520479,-57.3,-63.5,69.31,1805.4,822,218,798,800,4109.45,-13.87,31,1-Jun-21,225.35,-303.55,-134.7,-65.88,-21.95,-121.12,28.68,0,0,0,0,7.42,51.39,800,127.3,107.73,0,0,-56.2,-42.6,-16.3,MAHLIFE
Logistics,-42,71.78,10,496.35,25,3263.72,32.22,17,4.5,0,1-Jun-21,873.36,0,79.2,5.24,9.128788,161.1,42.6,138.99,824.66,819,310,723,723,5187.69,9.35,159,1-Jun-21,2962.66,115.53,3.9,173.57,4.66,24.45,176.94,7.98,90.57,0,0,80.12,71.78,723,570.98,248,0,0,4,3.9,5.2,MAHLOG
Finance,-95,11.43,10,16232.14,500,30.71,8.74,9.3,7.6,0,1-Jun-21,6.61,0,14211.3,0.07,0.32059,599.4,488,18.62,282.38,4725,2753,4560,4556,5206.94,2.14,48,1-Jun-21,31.95,12.19,38.15,12.19,38.15,9.43,-95,8.25,552.23,0,0,1.94,11.43,4556,34.22,0,0,0,35.5,35.5,51,MAHSCOOTER
Steel,15,33.5,5,3265.29,70,2308.34,222.41,51.3,33.2,0,1-Jun-21,690.48,0,492.4,7.17,0.649878,9.6,6.2,59.81,513.09,350,212,320,320,2145.33,95.82,400,1-Jun-21,2195.72,174.94,7.97,339.65,13.37,132.36,44.2,50.33,6.36,0,0,105.77,33.5,320,3650.61,784.74,0,0,11.4,12.7,17.4,MAHSEAMLES
Mining & Mineral products,25,29.11,10,1492.49,60,1619.78,230.84,84.7,79.3,0,1-Jun-21,565.64,0,522.7,15.41,1.895925,12.5,11.7,103.12,2670.63,1255,470,992,991,2886.26,112.07,219,1-Jun-21,1550.1,220.3,14.21,417.32,21.74,218.04,50.1,105.71,9.38,0,0,15.68,29.11,991,284.39,3.57,0,0,18,19.5,24.9,MAITHANALL
IT - Software,-1045,14.31,5,161.03,19480,9.51,-556.18,-194,-194.3,0,1-Mar-21,0,0,61.2,13.64,1.323529,-0.4,-0.4,10.23,85.89,1019,12,81,81,231.9,0,-100,1-Mar-21,546.29,66.95,12.26,3146.31,33084.23,-538.07,-1045.07,0,0,0,0,17.42,14.31,81,14.61,0,0,0,-1073.9,33084.2,0,MAJESCO
Paper,0,17.06,10,7.01,0,169.7,-5.76,0,0,1.2,1-Jun-21,34.32,0,14.1,0,2.48227,0,0,1.69,8.07,44,22,36,35,60.22,-2.94,9,1-Jun-21,181.13,6.5,3.59,-0.22,-0.12,-5.48,-90,0,0,0,0,4.97,17.06,35,152.67,69.14,0,0,3.4,-0.6,-2.8,MALUPAPER
Non Ferrous Metals,0,6.55,1,102.16,0,271.63,-3.16,0.4,0,1.1,1-Jun-21,81.02,0,16.6,4.71,1.024096,0,0,1.05,5.96,24,6,17,17,110.75,1.46,0,1-Jun-21,300.83,21.66,7.2,12.22,4.06,7.1,0,1.08,15.68,0,0,5.95,6.55,17,116.04,8.75,0,0,3.9,0.7,7.8,MANAKALUCO
Steel,105,6.55,1,93.31,3,446.44,5.85,2.3,0.9,0,1-Jun-21,155.47,0,15.2,3.06,0.855263,14.6,5.7,2.66,5.03,18,4,12,13,82.64,1.65,231,1-Jun-21,310.25,26.87,8.66,17.73,3.3,3.38,356.84,1.07,11.79,0,0,9.02,6.55,13,175.36,44.46,0,0,7.4,3.7,4.7,MANAKCOAT
Non Ferrous Metals,-9,13.11,2,943.03,150,861.04,52.74,12.9,8,0,1-Jun-21,272.91,0,145.9,6.03,0.466073,8.5,5.3,6.51,19.82,79,37,68,68,444.43,30.56,155,1-Jun-21,837.53,88.86,10.61,153.2,15.92,57.86,58.17,11.93,5.68,0,0,36.97,13.11,68,290.78,0.53,0,0,11.7,14.8,15.5,MANAKSIA
Steel,234,6.55,1,216.27,0,504.19,25.92,5.5,4,0,1-Jun-21,138.03,0,34,12.82,1.058824,9.1,6.5,4.73,22.15,40,9,36,36,237.23,11.15,648,1-Jun-21,569.66,33.09,5.81,58.23,10.89,20.99,283.05,5.52,6.56,0,0,10.26,6.55,36,127.49,21.93,0,0,7.8,8.8,11.2,MANAKSTEEL
Petrochemicals,313,86,5,593.93,30,1019.52,216.78,13.8,12.6,0,1-Jun-21,329.69,0,39.5,34.66,2.278481,7.1,6.5,24.09,182.44,104,21,90,90,1543.69,82.62,2570,1-Jun-21,711.12,56.5,7.94,392.8,31.14,59.62,569.53,17.18,5.22,0,0,14.52,86,90,330.87,0,0,0,27,28.3,33.2,MANALIPETC
Finance,18,169.28,2,7138.16,100,6330.55,1723.67,22.4,20.4,0,1-Jun-21,1563.3,0,86.3,26.43,1.900348,8.1,7.3,378.55,4824.85,218,139,164,164,13847.02,436.53,19,1-Jun-21,6082.45,4406.6,72.45,2579.44,40.34,1567.72,11.93,21.18,7.72,0,0,170.68,169.28,164,1188.53,2098.6,0,0,73.6,39.3,71.1,MANAPPURAM
Pharmaceuticals,237,15.83,10,115.13,0,380.14,27.97,23.5,17.7,8.6,1-Jun-21,104.78,0,82.7,8.27,1.765417,8.2,6.2,14.23,63.85,197,91,146,146,230.46,4.42,-47,1-Jun-21,381.28,50.03,13.12,44.49,11.67,24.09,52,15.22,9.59,0,0,9.5,15.83,146,170.92,2.2,0,0,14,12.8,9.9,MANGALAM
Fertilizers,2,118.52,10,488.71,10,2144.03,68.95,10.1,5.8,0,1-Jun-21,687.19,0,51.2,11.64,1.503906,13.2,7.6,46.66,395.69,101,28,77,77,907.27,24.33,121,1-Jun-21,2301.42,215.32,9.36,179.51,7.8,82.27,5,6.94,11.09,0,0,51.6,118.52,77,817.32,39.09,0,0,9.7,7.4,8,MANGCHEFER
Cement,44,26.69,10,654.84,15,1298.26,109,62.8,40.8,0,1-Jun-21,355.48,0,255.4,17.33,1.820673,11.4,7.4,23.65,588.25,543,169,465,465,1241.75,39.94,189,1-Jun-21,1427.52,294.42,20.62,264.92,18.56,135.14,140,50.63,9.18,0,0,56.32,26.69,465,1161.17,5.89,0,0,19.9,17.5,23.2,MANGLMCEM
Steel,76,28.55,5,806.33,40,2080.2,100.85,25.8,17.7,0,1-Jun-21,403.71,0,146.2,7.66,0.793434,6.6,4.5,9.46,142.21,147,47,116,116,664.64,19.28,13,1-Jun-21,2199.98,210.69,9.58,183.82,8.81,86.77,48.02,18.04,6.45,0,0,51.48,28.55,116,578.43,15.34,0,0,9.9,8.8,9.5,MANINDS
Construction,536,49.5,2,625.34,45,427.16,30.65,1.6,1.2,0,1-Jun-21,153.37,0,27.3,4.96,2.564103,56.5,43.5,49.72,397,74,23,70,70,1736.21,32.83,1326,1-Jun-21,227.38,16.28,7.16,115.99,20.8,4.79,22718.1,2.53,27.73,0,0,7.06,49.5,70,95.11,138.41,0,0,22.6,15,45.1,MANINFRA
Capital Goods-Non Electrical Equipment,46,6.08,2,116.95,0,29.69,-17.29,-5.1,-5.7,0,1-Jun-21,4.45,0,40.5,-20.64,0.320988,-2.3,-2.5,0.13,0.51,16,8,13,13,39.21,-3.94,1,1-Jun-21,71.59,-34.59,-48.32,-26.54,-87.33,-23.36,32.13,0,0,0,0,2.04,6.08,13,211.91,0,0,0,-92.2,-89.3,-81.1,MANUGRAPH
Textiles,0,41.51,10,56.14,0,632.02,12.46,8.8,3,0,1-Jun-21,224.05,0,23.5,0,3.234043,25.3,8.6,11.13,21.23,98,11,76,76,315.06,20.42,0,1-Jun-21,788.85,87.93,11.15,81.31,10.31,47.77,0,11.51,6.6,0,0,23.88,41.51,76,260.27,0,0,0,8.5,7.1,12.6,MARALOVER
Realty,-37,23,5,586.09,0,205.55,15.19,4.5,3.3,0,1-Jun-21,35.35,0,132.4,3.43,0.641994,25.7,19,9.56,50,110,42,85,85,392.15,4.35,-62,1-Jun-21,184.37,67.96,36.86,27.65,15.17,22.31,-71.51,1.78,47.89,0,0,4.57,23,85,304.28,52.32,0,0,31,18.3,30.1,MARATHON
FMCG,11,129.19,1,3151,750,8849,1161.86,10.1,9,0,1-Jun-21,2525,0,25.4,38.29,22.086614,62.4,55.7,576.14,13651.5,572,333,561,561,72460.77,356,7,1-Jun-21,7234,1465,20.25,1624,18.78,1094.31,12.68,9.18,61.1,0,0,137,129.19,561,2224,351,0,0,17.4,18.8,19,MARICO
Capital Goods - Electrical Equipment,20,24.53,2,109.34,10,199.87,7.83,1.3,0.6,0.6,1-Jun-21,55.3,0,10.9,5.01,3.669725,0,31.7,0,723.63,91,26,40,0,490.05,0.05,0,1-Jun-21,230.71,27.13,11.76,23.5,10.19,12.92,999,1.05,37.97,0,0,7.48,24.53,40,73.58,0.85,0,0,11.3,9.3,4.6,MARINE
Pharmaceuticals,97,40.93,1,845.56,25,1376.18,237.25,6.7,5.8,0,1-Jun-21,348.96,0,21.7,31.34,3.364055,12.6,10.9,129.62,1156.38,98,44,73,73,2990.04,62.6,27,1-Jun-21,1310.62,269.66,20.57,351.92,25.25,172.4,70.54,6.15,11.88,0,0,43.19,40.93,73,600.05,15.36,0,0,24.7,24.6,22.2,MARKSANS
Engineering,-82,14.55,10,34.5,0,67.14,0.54,3.9,0.4,6.6,,0,0,33.7,7.46,0.979228,0,8.5,0,3.94,43,7,33,0,48.31,1.44,0,1-Mar-21,67.14,9.66,14.4,5.95,8.9,0.54,-82,0.4,0,0,0,5.12,14.55,33,63.33,8.97,0,0,14.4,8.9,0,MARSHALL
Automobile,-31,151.04,5,52349.6,900,70372,2239.73,174.6,74.1,0,1-Jun-21,16799.9,0,1738,4.4,3.948792,92.6,39.3,5858.12,82268.21,8400,6274,6863,6863,207326.57,475,278,1-Jun-21,58213.7,4702.9,8.08,9281.1,11.65,4061.8,27.27,169.9,40.4,0,0,3233.4,151.04,6863,31496.4,540.9,0,0,7.6,11.9,4.9,MARUTI
Finance,-14,54.66,10,1125.11,15,627.42,146.82,27.3,26.9,0,1-Jun-21,156.4,0,215.8,13.43,3.614458,29,28.5,13.48,237.68,1108,716,779,780,4261.73,36.61,-2,1-Jun-21,706.82,521.74,73.82,198.03,32.22,163.36,-10.38,26.31,29.63,0,0,2.8,54.66,780,19.31,47.46,0,0,77.2,31.6,80.2,MASFIN
Finance,101,3.05,10,15.4,0,0.1,0.01,0,0,0,1-Jun-21,0.03,0,60.5,0.08,0.495868,0,0,0,0.01,59,21,30,0,9.29,0.02,100,1-Jun-21,0.1,0.02,20,0.02,20,0.01,0,0.03,0,0,0,0,3.05,30,0,0.73,0,0,10,10,66.7,MASKINVEST
IT - Software,72,12.7,5,845.92,290,1721.86,209.35,100.1,82.4,0,1-Jun-21,516.47,0,338.1,16.78,8.278616,34,28,601.03,7498.15,2873,663,2798,2799,7108.88,69.3,71,1-Jun-21,1376.14,224.43,16.31,417.73,22.55,166.92,69.42,93.8,29.84,0,0,36.57,12.7,2799,1071.85,0,0,0,21.2,22.3,21.8,MASTEK
Miscellaneous,38,11.44,5,251.86,70,438.59,40.77,29.1,17.8,0,1-Jun-21,105.45,0,115,16.59,8.834783,57,34.9,18.81,186.22,1242,511,1016,1016,2325.01,13.82,48,1-Jun-21,364.18,55.24,15.17,85.53,21.57,32.02,52.92,19.76,51.41,0,0,27.6,11.44,1016,168.81,59.71,0,0,15.3,18.1,20.8,MATRIMONY
Sugar,94,39.12,10,330.57,30,1468.91,-5.09,10.9,-1.3,0,1-Jun-21,360.33,0,94.5,-1.54,0.867725,-63,7.6,4.6,34.5,124,22,82,82,320.39,-2.03,52,1-Jun-21,1679.89,57.61,3.43,153.8,10.47,-97.06,90.27,0,0,0,0,60.55,39.12,82,392.55,1.24,0,0,4.9,10.4,3.4,MAWANASUG
