Industry  Industry name,Variance  Full Year Net Profit Variance,Equity  Latest Equity,Face Value  Latest Face Value,Reserves  Total Reserve,Dividend  Full Year Dividend %,Sales Turnover  Full Year Net Sales,Net Profit  Full Year Net Profit,Full Year CPS  Full Year Cash Per Share,Earning Per Share  Full Year Earning Per Share,Latest Quarter Date  Latest Quarter Yrc,Latest Quarter Sales  Latest Quarter Net Sales,Book Value  Book value,Networth  Full Year Return on Networth,Price/Book Value  Price to Book value,Yearly PE ratio  Full Year Price to Earning per share,Yearly PC ratio  Full Year Price to Cash Per Share,Bse value  BSE Value in lakhs,Nse value  NSE Value in lakhs,High  52 week high,Low  52 week low,Price  NSE Current market price,CPM  Current market price,Market cap  BSE / NSE Market Cap,Net profit  Latest Quarter Net Profit,Net profit variance  Latest Quarter Net Profit variance,Result year  Trailing latest month,TTM Sales  Trailing Twelve 12 month Net Sales,TTM OP  Trailing Twelve 12 month Operating  Profit,TTM OPM  Trailing Twelve 12 month Operating  Profit  Margin,TTM GP  Trailing Twelve 12 month Gross  Profit,TTM GPM  Trailing Twelve 12 month Gross  Profit Margin,TTM NP  Trailing Twelve 12 month Net Profit,TTM NPV  Trailing Twelve 12 month Net Profit  Variane,TTM EPS  Trailing Twelve 12 month EPS,TTM PE  Trailing Twelve 12 month PE,TTM Depreciation  Trailing Twelve 12 month  Depreciation,Equity  Latest Equity.1,LTP  Latest Price (BSE/NSE),Gross block  Latest Gross Block,Loans  Total loans,Year OPM  Full Year Operating Profit Margin,Year GPM  Full Year Gross Profit Margin,Quarter OPM  Latest quater Operation Profit Margin,stock name
IT - Software,0.0,0.148583341229982,0.19047619047619047,0.20894265752397867,0.03529411764705882,0.03477880705913214,0.0198499127759943,0.07554296506137866,0.04881181759794477,1-Jun-21,0.03841251221896383,0.17203294646199924,0.212807881773399,0.05249648909025213,0.24915368991198375,0.14846416382252559,0.05430736380642844,0.021574176350108172,0.03175947491001482,0.02109704641350211,0.0343796711509716,0.036373083917900756,0.01155880126760212,0.01674636831182893,0.009266409266409266,1-Jun-21,0.036387088479670114,0.02485993266428428,0.25934117099289955,0.022710630009514652,0.25852212576752065,0.018586387434554975,0.04789281484405843,0.03888692490278269,0.3073170731707317,0.08942994264309963,0.148583341229982,0.03429423459244532,0.09377308561075877,0.07607571922569607,0.24943820224719104,0.25892857142857145,0.23541048466864495,ADSL
Chemicals,0.051587301587301584,0.12969455762974194,0.047619047619047616,0.28414854309831616,0.10588235294117646,0.048745512748893674,0.15036592792922987,0.14730878186968838,0.16698779704560052,1-Jun-21,0.05357184750733138,0.16136278547360536,0.48823207443897093,0.3660757659291244,0.39268788083953965,0.41467576791808874,0.10619602804179815,0.05204587816605884,0.21215329239889902,0.20675105485232065,0.18834080717488788,0.1964146531566641,0.14039575137032448,0.13721916448614999,0.01698841698841699,1-Jun-21,0.047748240001559646,0.13687502827195358,1.0,0.1223006530738307,0.9839085327122591,0.17849476439790576,0.03762830635609949,0.13554870966112825,0.4741799831791422,0.10367162199071366,0.12969455762974194,0.18737574552683894,0.16020642128591772,0.03474623602248286,1.0,1.0,0.9060336300692384,ADVENZYMES
Trading,0.49206349206349204,0.2101772007959822,0.0,0.4261706587071734,0.4705882352941176,0.37339369768921754,0.2305707237011881,0.07932011331444759,0.08220937700706488,1-Jun-21,0.26512609970674483,0.10220891052040434,0.31461412151067325,0.39546247705947085,0.5511171293161815,0.5255972696245734,0.13658094140322366,0.16158284318712118,0.1659961888630108,0.20675105485232065,0.12855007473841554,0.1345804104962328,0.3025576617565106,0.24029594875033836,0.18996138996138995,1-Jun-21,0.49497990116293467,0.2405603985860792,0.18461180304970318,0.223464828163373,0.2445479568071141,0.2235602094240838,0.6390150019739441,0.07484470481288824,0.5887300252312868,0.27862967731866245,0.2101772007959822,0.12823061630218685,0.3981678407728875,0.21924352073009876,0.19550561797752808,0.21428571428571427,0.3066271018793274,AEGISCHEM
Miscellaneous,0.4206349206349206,0.15679585583878203,0.42857142857142855,0.2817344681472496,0.0,0.05019697757224535,0.13913519204764807,0.5476864966949953,0.6499678869621067,1-Jun-21,0.05961681329423265,0.6724073380756271,0.9999999999999999,1.0000000000000002,1.0,1.0,0.7113055308856597,0.2884310541901594,1.0,0.9999999999999999,1.0,1.0,0.40769777171517213,0.12888207164125237,0.138996138996139,1-Jun-21,0.04206924495922009,0.067426185968064,0.6085438249330695,0.09439930657606989,0.6923565530383231,0.10795811518324608,0.280250690880379,0.5755264885611838,1.0,0.06793085957313981,0.15679585583878203,0.9999999999999999,0.09713466987709672,0.09447078535524582,0.5325842696629214,0.7008928571428571,0.4549950544015826,AFFLE
Petrochemicals,0.23412698412698413,0.06721627341356329,0.42857142857142855,0.173659908995335,0.042352941176470586,0.0878068211074463,0.04182623326486164,0.4164305949008498,0.41746949261400135,1-Jun-21,0.15950733137829912,0.32815424934481463,0.5064039408866994,0.14657806351169061,0.13405551794177387,0.12457337883959045,0.022108425766708864,0.005807261399654128,0.16218505187380902,0.0780590717299578,0.15994020926756353,0.16783580150688493,0.013068279171899823,0.0543174230803934,0.4277992277992278,1-Jun-21,0.07538025503313976,0.028252567093384685,0.1422418810382959,0.03918941133688347,0.14312936692780012,0.02803664921465969,0.3066521910777734,0.4181606989545983,0.1310344827586207,0.04280307464200711,0.06721627341356329,0.16003976143141152,0.028106165601135998,0.02457428731001866,0.14831460674157304,0.13392857142857142,0.11671612265084078,AGARIND
Steel,0.23412698412698413,0.07005906693199407,0.42857142857142855,0.15864346869786733,0.0,0.015442458746435706,0.010508170153906501,0.15864022662889518,0.10147719974309571,1-Jun-21,0.020477028347996088,0.17128416323474352,0.24871373836891075,0.13605500811644594,0.27081922816519977,0.16040955631399317,0.0,0.0036461591574104262,0.10417107770484861,0.04219409282700422,0.07822620827105133,0.0,0.0064917198299882725,0.012126680501669223,0.047876447876447875,1-Jun-21,0.020020328041263077,0.020892165922441145,0.39622861133744613,0.013878441589495024,0.3103959347872115,0.014371727748691101,0.0,0.08585424978536438,0.31269974768713205,0.04810956338522768,0.07005906693199407,0.07803180914512921,0.02484889902260713,0.03788337908333631,0.3865168539325843,0.3392857142857143,0.3837784371909001,AHLADA
Realty,0.07936507936507936,0.07309138001832025,0.047619047619047616,0.2717860950772988,0.0,0.19256585754465394,0.07974028923273843,0.15203021718602455,0.1477199743095697,1-Jun-21,0.22682306940371458,0.2444777236989891,0.32293377120963324,0.2416221422711094,0.45091401489505756,0.40784982935153585,0.0272670584456076,0.016287565972492004,0.18124073681981792,0.2130801687763713,0.19033383158943695,0.19953234606391274,0.08525073402813013,0.12545339709464948,0.5652509652509653,1-Jun-21,0.18247604816133445,0.0770354191034398,0.16016761727389128,0.08538778438102448,0.1568918060554732,0.06890052356020943,0.29327872088432694,0.1575677996060805,0.4139613120269134,0.12005930781536542,0.07309138001832025,0.19035785288270377,0.07913028853420874,0.14661390562427962,0.14382022471910114,0.1294642857142857,0.20573689416419388,AHLUCONT
Miscellaneous,0.05555555555555555,0.08319909030607411,0.42857142857142855,0.14800216670677707,0.0,0.012938827655553993,0.005625690308329118,0.049102927289896126,0.04624277456647399,1-Jun-21,0.0,0.06083863721452639,0.37197591680350295,0.1287249327493234,0.2031144211238998,0.17747440273037543,0.0,0.0031415281668197913,0.02413720093161126,0.020042194092827002,0.026407573492775286,0.0,0.0023908107163948204,0.008770188577100064,0.006177606177606178,1-Mar-21,0.01404521171354639,0.007476720065655554,0.20253753928529855,0.0050163642069711014,0.1609146728774084,0.007146596858638744,0.03454401894986183,0.03636179990909551,0.2523128679562658,0.009169300401888488,0.08319909030607411,0.02634194831013916,0.005709796708244716,0.037669482965550845,0.16404494382022472,0.14732142857142858,0.0,AIROLAM
Pharmaceuticals,0.15476190476190477,0.09779209703401875,0.047619047619047616,0.5866425656550152,0.9999999999999999,0.280732144505273,0.6765589355574596,0.842304060434372,0.9723827874116893,1-Jun-21,0.2924692082111437,0.6469487083489329,0.6338259441707716,0.542885302844617,0.3953960731211916,0.4232081911262799,0.1485232705353262,0.09882116598594884,1.0,0.9999999999999999,1.0,1.0,0.6359669624959452,0.6270143462961292,0.027799227799227798,1-Jun-21,0.28635033677209887,0.5376065448764757,0.7128390175765336,0.5145335080177141,0.736396358246877,0.7286649214659687,0.08636004737465457,0.7935962830160093,0.47317073170731705,0.413554957274962,0.09779209703401875,0.9999999999999999,0.45575759124072046,0.09508870747329272,0.7460674157303371,0.7633928571428572,0.5816023738872403,AJANTPHARM
Miscellaneous,0.09126984126984126,0.0516756688461417,0.42857142857142855,0.14364938094624286,0.0,0.004948970421789461,0.0003716052313758684,0.009442870632672332,0.005138086062941555,1-Jun-21,0.006197458455522971,0.027892175215275174,0.16880131362889983,0.28454666341997215,0.0,0.0,0.0,0.003897673651133377,0.03133601524454796,0.02742616033755274,0.025909317389138018,0.0,0.001465228276510268,0.001046648019489308,0.004633204633204633,1-Jun-21,0.006011999761838397,0.001098567338946797,0.06937492724944709,0.0005429828188280538,0.04044039805208553,0.0004973821989528797,0.0,0.0038381899904045254,0.0,0.002380116274532756,0.0516756688461417,0.025844930417495027,0.0007089344906209882,0.036148443905743115,0.04269662921348314,0.024553571428571428,0.09099901088031652,AJOONI
