symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
THYROCARE.NS,103.608,49.98772,0.043,609.5,613.7,603.1,617.05,52101,12.22,1.38,1173675008,470200000,5535099904,9.642,103.608,-0.004,0.052
VARROC.NS,474.434,14.750576,17.755,495.45,497,496.05,513.75,223117,34.68,0.61,4264067584,14423910400,72480497664,135.329,474.434,17.694,0.098
RALLIS.NS,140.621,50.46602,0.064,256,257,255.55,263.7,803788,5.15,2.21,2676756224,1290000000,27349747712,7.065,140.621,0.078,-0.051
HEIDELBERG.NS,104.77,28.96779,4.64,199.4,199.7,197.5,200.2,321455,6.83,0.22,3015399936,1952499968,23712700416,14.038,104.77,4.56,0.124
ICIL.NS,165.186,18.865618,0.54,314.4,314.9,314.5,326.8,227957,17.19,0.62,5346568192,8496900096,32708943872,43.776,165.186,0.542,0.085
REDINGTON.BO,1136.127,13.348505,-0.103,202.25,200,200,207.25,77950,15.38,0.56,19678124032,33180798976,8.88235E+11,45.91,1136.127,-0.103,0.082
GPPL.NS,20.213,25.568476,0.376,198.55,198.55,195.65,201.5,3782648,7.74,-2.14,5246727680,879080000,9768099840,3.812,20.213,0.379,0.076
LAOPALA.NS,35.252,26.180151,0.275,312.45,313.1,310,314.45,94571,11.99,0.65,1560118784,102421000,3914885120,1.237,35.252,0.276,-0.152
WELCORP.NS,647.734,13.036974,11.559,524.15,526.4,522,544.5,491875,41.11,0.93,17302300672,19894398976,1.69486E+11,38.673,647.734,11.506,0.977
CEATLTD.NS,2924.028,15.6989765,4.128,2528.15,2528,2503.15,2602,111405,165.17,0.25,15067025408,20617900032,1.18264E+11,54.808,2924.028,4.128,0.087
KSB.NS,645.734,62.112244,-0.019,3741.7,3764.9,3702.7,3799,15696,59.96,2.22,2936000000,32000000,22471999488,0.246,645.734,-0.019,0.149
NEOGEN.NS,276.032,95.26216,-0.928,1251.1,1250.5,1246.65,1264.5,20396,13.16,1.54,1025974976,4790700032,6949400064,96.309,276.032,-0.93,-0.117
POLYMED.BO,135.967,60.23395,0.3,1528.7,1527.95,1520,1563.45,818,25.86,57.4,3399653376,1351245952,13045746688,10.099,135.967,0.302,0.192
GLOBUSSPR.NS,821.288,15.623359,0.647,720.15,720.15,711.05,723.95,133277,45.72,0.68,2184525824,3524773888,23657015296,38.155,821.288,0.642,0.161
NCC.NS,307.427,22.424242,0.399,237.35,236,231.5,238.75,5465451,10.56,3.51,16848749568,14393299968,1.93091E+11,21.782,307.427,0.387,0.366
ENGINERSIN.BO,59.687,21.231102,2.931,195.85,195.05,192.25,197.95,510454,9.26,-4.16,3920679424,231102000,33558192128,1.069,59.687,2.897,0.03
FINCABLES.BO,316.294,21.231503,-0.022,888.2,889.35,875.5,892,11398,41.9,0.73,5674724864,191300000,48376901632,0.416,316.294,-0.022,0.062
NOCIL.NS,88.911,34.720673,0.611,247.8,247,246.75,253.45,497974,7.16,1.97,1980450048,79800000,14808899584,0.483,88.911,0.613,0.046
GPPL.BO,20.213,25.575678,0.376,198.4,198.4,196,201.45,133581,7.73,2.95,5246727680,879080000,9768099840,3.812,20.213,0.379,0.076
VRLLOG.NS,323.091,39.065067,-0.723,576.8,576,566.3,577.3,38393,14.6,1.89,2619601408,9065608192,28321234944,99.736,323.091,-0.72,0.077
SANSERA.NS,503.509,30.86809,0.547,986.7,988.95,974.8,1005.45,43114,32.37,-5.42,4314639872,7971689984,26764429312,62.993,503.509,0.533,0.279
NESCO.NS,105.022,16.695124,0.338,808.15,808.8,805,822.4,29344,48.61,0.7,5047986176,3342000,7400003072,0.016,105.022,0.337,0.262
INDOCO.NS,193.374,30.408718,-0.421,336.4,336.4,332.5,339.4,28310,11.01,1.76,2376243456,4960300032,17958010880,46.343,193.374,-0.446,0.151
HGINFRA.NS,798.729,11.2739935,-0.22,901.7,906.1,891.05,914,66803,79.71,0.21,10013396992,14407459840,52056481792,66.708,798.729,-0.221,0.152
GPIL.NS,416.122,9.671771,0.788,674.85,675.9,672.65,692.45,247615,70.53,-0.36,12458135552,894700032,52421279744,2.19,416.122,0.86,-0.105
SHOPERSTOP.NS,381.772,121.89822,-0.413,771.2,773.9,745.25,774.2,35704,6.19,2.15,3620150016,25047900160,41941499904,1053.672,381.772,-0.412,0.088
ORIENTCEM.NS,154.802,24.045937,0.635,200,199.9,199.85,206.7,773462,8.49,-6.51,4438750720,2594220032,31730954240,15.775,154.802,0.642,0.026
DHANUKA.NS,386.081,17.825926,-0.015,950.7,953.95,946.9,970,23442,53.77,0.32,3119061248,314912000,17614618624,2.653,386.081,0.006,0.025
ARVIND.NS,288.489,22.117367,0.09,278.75,278,274.3,288.25,738852,12.61,0.91,7973749760,15442799616,75439996928,45.075,288.489,0.087,-0.046
CCL.BO,184.334,29.758621,-0.134,596.2,604.95,591.95,610.5,4427,20.3,1.64,4209283840,11421750272,24515330048,72.04,184.334,-0.135,0.243
JKTYRE.NS,581.026,14.816267,2.368,413.9,414.7,411.5,420.95,526290,28.03,121.2,19262251008,44416098304,1.49358E+11,114.631,581.026,2.173,0.021
HCG.NS,133.397,135.27777,-0.244,339.8,340.85,335.5,343.5,69421,2.52,1059.9,2474694912,9801900032,18592069632,113.913,133.397,-0.241,0.106
ICRA.NS,448.284,36.900105,-0.173,5475,5474.2,5420,5499.5,1009,148.15,-120.87,1318166784,119941000,4312308224,1.329,448.284,-0.173,0.112
PTC.NS,579.606,10.752187,-0.135,180.9,180,179.45,184.8,1313239,17.15,7.18,13458924544,62785200128,1.71475E+11,105.267,579.606,-0.135,0.106
ICIL.BO,165.186,18.833624,0.54,313.8,317.95,315.2,326.2,45508,17.19,0.92,5346568192,8496900096,32708943872,43.776,165.186,0.542,0.085
RKFORGE.NS,234.108,35.58716,0.423,665.25,665,662.95,684,246234,19.16,1.13,8021214720,15613867008,38232592384,101.09,234.108,0.321,0.361
SHARDACROP.NS,365.837,34.239918,-0.957,332.85,334,328.95,336.45,150985,9.67,0.99,2580056064,203058000,32995604480,0.972,365.837,-0.958,-0.378
KSCL.NS,203.964,12.135307,-0.691,622.2,622,621.95,642.4,43535,52.03,14.49,2769419264,3680000,11237380096,0.022,203.964,-0.66,-0.01
APARINDS.NS,4116.07,29.239294,0.281,6207.3,6249.9,6200.55,6448,89857,216.97,0.33,15361049600,4159200000,1.57997E+11,16.884,4116.07,0.275,0.018
ASHOKA.NS,327.755,14.190475,-0.212,160.45,160.95,160.45,166,943352,11.55,1.01,21339975680,22488791040,92045770752,103.844,327.755,-0.212,0.358
DOLLAR.NS,260.669,51.026524,1.289,520.35,527.1,515.05,527.1,49801,10.18,1.3,1063934720,2263864064,14786938880,30.916,260.669,1.294,0.162
GREENPLY.NS,176.406,54.882076,-0.255,229,229.05,229.05,234,143566,4.24,0.61,1744874752,7565765120,21738571776,114.976,176.406,-0.258,0.45
KIRLOSENG.NS,388.17,33.900196,0.019,855.35,859.95,848.9,874.95,85627,25.55,0.95,8885574656,33284399104,56221298688,134.602,388.17,0.02,0.139
SUBROS.NS,458.236,41.327232,2.252,535.85,531,530.4,546,42853,13.11,5.45,2142274688,639500032,29871716352,7.114,458.236,2.27,0.119
ECLERX.BO,589.534,23.042334,0.057,2363.7,2358,2332.05,2426.6,2421,104.41,4.98,7399322624,2148529920,28521150464,10.876,589.534,0.085,0.096
GMDCLTD.NS,83.804,13.229666,-0.561,362.25,362,356.4,363.45,1731519,27.17,0.96,8139052032,5148000,26643611648,0.009,83.804,-0.562,-0.34
ATFL.NS,323.804,122.0364,-0.631,716.8,718,700.2,722.95,36636,5.77,2.31,394557504,239300000,7832370176,4.896,323.804,-0.634,-0.143
LAOPALA.BO,35.252,26.17181,0.275,312.45,312.75,310.25,314.65,14406,11.99,-0.57,1560118784,102421000,3914885120,1.237,35.252,0.276,-0.152
GULFOILLUB.NS,655.398,16.41987,0.278,947.5,951.95,935,953.1,77386,57.47,0.6,3704513792,4127680000,32217346048,34.372,655.398,0.261,0.047
GRAVITA.NS,447.623,25.70888,0.201,871.8,874,865.35,894.7,144104,34.35,0.89,3208574976,5230700032,30462699520,77.019,447.623,0.178,-0.04
VOLTAMP.NS,1533.947,31.446777,0.864,8507.75,8600,8556.85,9099,38147,286.81,12.47,3146679808,20041000,15519241216,0.172,1533.947,0.864,0.143
GABRIEL.NS,224.448,29.586996,0.416,337.1,337.1,333.1,339.3,251915,11.38,-33.99,2612645120,489670016,32226260992,5.245,224.448,0.414,0.147
SWARAJENG.NS,1175.722,19.881186,0.037,2229.4,2239,2173.4,2270,6387,113.2,0.29,1891363712,10800000,14280714240,0.349,1175.722,0.037,0.002
WABAG.NS,426.387,74.050255,0.334,723.6,726.2,722.25,749.3,391961,9.95,0.44,3648600064,2831000064,28490799104,16.869,426.387,-0.005,0.081
NRBBEARING.NS,115.775,10.845633,6.228,270.35,273.45,270.15,277.9,187580,25.07,2.65,1918349952,3061900032,11218599936,44.682,115.775,6.242,0.029
ATFL.BO,323.804,121.96522,-0.631,715.95,706.8,698.95,721.15,1969,5.75,8.25,394557504,239300000,7832370176,4.896,323.804,-0.634,-0.143
TIMETECHNO.NS,211.992,17.755842,0.496,209.4,209.4,209.25,223.7,4331475,12.41,0.58,6615919104,8651799552,47930355712,35.659,211.992,0.496,0.173
SUBROS.BO,458.236,41.309162,2.252,536.7,539,530.35,546.1,7337,13.1,1.79,2142274688,639500032,29871716352,7.114,458.236,2.27,0.119
DBCORP.NS,130.196,13.659926,1.568,259.1,256,250,268,56988,19.29,-1.9,5107610112,2759119872,23185809408,13.689,130.196,1.555,0.139
JAGRAN.NS,82.584,12.131737,-0.104,102.05,102.95,100.5,104.5,300485,8.35,0.87,2841518336,2677870080,18836557824,13.284,82.584,0.087,0.047
FIEMIND.NS,719.899,9.191232,0.269,1035.2,1035,1027.9,1114,108508,119.75,0.68,2586841088,234911008,18948306944,2.935,719.899,0.269,0.104
HCG.BO,133.397,135.35857,-0.244,339.65,338.35,335.75,343.1,3690,2.51,1045.5,2474694912,9801900032,18592069632,113.913,133.397,-0.241,0.106
KKCL.NS,136.438,29.067831,0.236,680.35,680.35,665,700,27589,24.03,-0.59,1711991808,299000000,8405634048,4.595,136.438,0.236,0.006
MONTECARLO.NS,526.814,12.986767,-0.105,627.85,624.75,615,628.2,16100,47.61,0.22,1534024960,5087699968,10921100288,69.073,526.814,-0.105,-0.03
MAHLIFE.BO,29.289,312.1143,0.505,544.1,553.9,545.1,564.55,48503,1.75,2.69,-1319188480,2967399936,4531703808,16.954,29.289,0.505,-0.561
JKIL.NS,606.385,15.60235,0.163,603.2,603.2,601,629.55,137181,40.01,0.53,6310409728,6685791232,45884407808,27.172,606.385,0.163,0.147
SHANKARA.NS,2026.739,19.452698,0.308,633.55,634.95,634.9,649.4,100614,32.98,17.48,1421750016,1248600064,46619099136,18.553,2026.739,0.265,0.09
WONDERLA.NS,85.56,29.935368,-0.041,881.55,884.45,884.45,915,49246,30.17,1.73,2350025472,60907000,4839166976,0.59,85.56,-0.041,0.092
PARAGMILK.NS,268.327,23.640608,2.688,199.9,203.65,201.3,212.7,2481043,8.57,1.15,2020550016,6256059904,31495409664,73.201,268.327,2.244,0.088
SPAL.NS,425.349,17.30249,0.327,563.8,563.8,556.1,569,21741,32.53,0.63,1517805056,2580539904,10673829888,36.169,425.349,0.347,0.004
MANGLMCEM.NS,634.769,33.4446,29.158,678.7,678.7,668,713.55,120499,21.12,0.63,2068828800,6230297088,17475104768,80.02,634.769,29.526,0.024
ENIL.NS,98.039,7.716976,2.809,278.3,279,273.8,288.7,122932,36.64,2.3,2511542528,1920832000,4619834880,25.749,98.039,2.774,0.348
SKIPPER.NS,271.968,38.152454,1.153,258.6,259,257.2,297.25,4775163,7.74,0.57,2610077440,7296979968,27858919424,90.885,271.968,1.163,0.802
SNOWMAN.NS,29.061,73.38709,0.136,66.6,66.5,66.45,68.95,1263056,0.93,2.42,780478272,2757433088,4891771904,67.07,29.061,0.136,0.134
SHAILY.BO,132.429,46.31705,1.563,485.85,471.8,471.8,490.55,4517,10.44,1.34,1121270784,2091000960,6078083072,49.388,132.429,1.549,0.163
LODHA.BO,99.103,68.503845,0.244,1130,1131.95,1130,1169.15,9193,16.91,2.65,23997999104,87835000832,95530000384,64.686,99.103,0.241,0.652
NYKAA.NS,21.103,1635.5,0.976,159.2,158.55,157.95,164,6407351,0.1,5.33,1803227520,9656540160,60193701888,68.509,21.103,1,0.223
GOOG_TEST,,,,,,,,,,,,,,,,,
TRST_TEST,,,,,,,,,,,,,,,,,
