symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
BOMBWIR.BO,368.6800454,inf,1.272780739,42.28,43.14,40.17,43.14,7300,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
JUBLINGREA.BO,265.56,35.326923,-0.579,453.55,453.95,450.75,462.25,14602,13,7.752124646,4352087552,7651899904,42063388672,28.341,265.56,-0.577,-0.166
BENARA.BO,368.6800454,inf,1.272780739,18.5,17.37,17.37,18.5,4000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
VISVENL-RE.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ZODIAC.BO,368.6800454,inf,1.272780739,359.3,366.45,366.45,366.45,4841,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
AGOL.BO,368.6800454,inf,1.272780739,11.28,11.5,11.22,12.27,1507178,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NMSRESRC.BO,368.6800454,inf,1.272780739,73.05,71.59,71.59,71.59,40,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NIEHSPJ.BO,368.6800454,inf,1.272780739,5.34,5.87,5.87,5.87,1,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
HERANBA.BO,314.897,26.246765,0.102,302,302.05,302.05,309,4289,11.59,7.752124646,902237504,880600000,12593399808,10.651,314.897,0.101,0.086
KRANTI.BO,368.6800454,inf,1.272780739,76.69,77.98,77,78.49,22313,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
BTML-SM.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
EQUIPPP.BO,0.074,inf,1.272780739,28.56,29.28,28.06,29.94,2250,-0.05,7.752124646,-4929750,14357000,6123000,23.392,0.074,1.072591783,-0.482
HIMTEK.BO,368.6800454,inf,1.272780739,122.7,122.8,122.8,128.6,16614,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
CRAFTSMAN.BO,2047.718,27.39666,0.417,3972.35,4049.95,3962.9,4155,4720,151.44,7.752124646,8118850048,15057800192,43267600384,94.122,2047.718,0.417,0.508
HDFCAMC.BO,138.189,45.24952,0.322,3670.7,3650.05,3650,3818.7,14106,83.36,7.752124646,23080525824,72614166656,29499000832,118.1582281,138.189,0.319,0.228
SJS.BO,178.244,26.663826,0.322,614.35,634.95,614.3,634.95,8175,23.47,7.752124646,1178320000,1003150016,5475800064,19.737,178.244,0.291,0.51
11DPD.BO,368.6800454,inf,1.272780739,2.18,2.24,2.22,2.24,93,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
GROWINGTON.BO,368.6800454,inf,1.272780739,6.65,6.94,6.32,6.94,3195407,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
UTINEXT50.BO,368.6800454,inf,1.272780739,62.28,61.53,61.53,62.88,3735,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
MRP.BO,368.6800454,inf,1.272780739,57.8,56.75,56.75,57,15000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
WAAREE.BO,368.6800454,inf,1.272780739,1249.15,1249.15,1191.1,1292,18900,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NSL.BO,368.6800454,inf,1.272780739,191.45,186,181.9,196.9,54000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
STLTECH.BO,162.6,43.223442,1.272780739,117.25,118.85,117.25,119.5,188165,2.73,7.752124646,8634999808,36890001408,62660001792,172.706,162.6,1.072591783,-0.296
AGRIMONY.BO,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
PIGL-SM.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
NAVIGANT.BO,368.6800454,inf,1.272780739,42.37,42.37,42.37,42.37,5000,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
SYTIXSE.BO,368.6800454,inf,1.272780739,5.88,6.17,5.85,6.17,2635,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
ZENITHSTL.BO,9.143,inf,1.272780739,7.99,8.28,7.8,8.37,309507,-0.68,7.752124646,-44010500,2200944896,1307037056,118.1582281,9.143,1.072591783,0.842
KOTAKNIFTY.NS,368.6800454,26.4615,1.272780739,237.38,237.38,235,241.1,32634,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
VLIFEPP-E1.NS,368.6800454,inf,1.272780739,667.6394034,668.5182914,660.4500689,682.8824728,774366.3473,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
KOTAKALPHA.NS,368.6800454,25.613174,1.272780739,42.96,42.95,42.21,43.38,293707,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
CPSEETF.BO,368.6800454,inf,1.272780739,78.37,78.37,77.91,79.2,688648,18.4682045,7.752124646,12331239082,72614166656,87657371063,118.1582281,368.6800454,1.072591783,0.490908862
